,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,regularMarketPrice,logo_url,address2,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid
39,06492,Technology,80000.0,"Amphenol Corporation, together with its subsidiaries, primarily designs, manufactures, and markets electrical, electronic, and fiber optic connectors in the United States, China, and internationally. It operates in two segments, Interconnect Products and Assemblies, and Cable Products and Solutions. The Interconnect Products and Assemblies segment offers connector and connector systems, including fiber optic, harsh environment, high-speed, and radio frequency interconnect products, as well as antennas; power interconnect products, busbars, and distribution systems; and other connectors. It also provides value-add products, such as backplane interconnect systems, cable assemblies and harnesses, and cable management products; and other products comprising antennas, flexible and rigid printed circuit boards, hinges, molded parts, and production-related products. The Cable Products and Solutions segment offers coaxial, power, and specialty cables; cable assemblies; and components, which include combiner/splitter products, connector and connector systems, and fiber optic components. The company sells its products through its sales force, independent representatives, and a network of electronics distributors to original equipment manufacturers, electronic manufacturing services companies, original design manufacturers, and service providers in the automotive, broadband communication, commercial aerospace, industrial, information technology and data communication, military, mobile device, and mobile network markets. Amphenol Corporation was founded in 1932 and is headquartered in Wallingford, Connecticut.",Wallingford,203 265 8900,CT,United States,[],http://www.amphenol.com,1.0,358 Hall Avenue,Electronic Components,65.3,65.82,64.945076,0.008269525,0.32849997,,66.69,,2309187.0,,65.3,67.28943,0.54,65.82,,2309187.0,,,,0.58,1624233600.0,1.247593,,,65.49,2.0,USD,31.827337,1586691.0,,,,39657799680.0,,,2978034.0,4.3513055,65.49,66.43,,800.0,1586691.0,69.62,26.438248,,0.91,42.39,66.25,False,0.0087,1100.0,66.69,NYQ,Amphenol Corporation,Amphenol Corporation,America/New_York,EDT,False,-14400000,EQUITY,APH,finmb_24827,us_market,,4.608,,0.14164,19.962,0.5006784,,2.51,,597616000.0,,,9.146,4872351.0,0.0082,,1609372800.0,0.9739,1290899968.0,2.085,0.29,0.41299164,7.255631,0.00522,1672444800.0,1617148800.0,1.58,1617148800.0,592882603.0,41993977856.0,,1614902400.0,2:1,,1616371200.0,,0.361,1619740800.0,2.52,,0.0092,4495111.0,,,,66.36,https://logo.clearbit.com/amphenol.com,PO Box 5030,203 265 8516,,,,
40,02062,Technology,15900.0,"Analog Devices, Inc. designs, manufactures, tests, and markets integrated circuits (ICs), software, and subsystems that leverage analog, mixed-signal, and digital signal processing technologies. The company offers data converter products, which translate real-world analog signals into digital data, as well as translates digital data into analog signals; high-performance amplifiers to condition analog signals; and radio frequency and microwave ICs to support cellular infrastructure. It also provides power management and reference products for power management and conversion applications in the automotive, communications, industrial, and high-end consumer markets; and microelectromechanical systems technology solutions, including accelerometers used to sense acceleration, gyroscopes to sense rotation, and inertial measurement units to sense multiple degrees of freedom, as well as isolators. In addition, the company offers digital signal processing and system products for high-speed numeric calculations. The company serves clients in the industrial, automotive, consumer, and communications markets through a direct sales force, third-party distributors, and independent sales representatives in the United States, the rest of North and South America, Europe, Japan, China, and rest of Asia, as well as through its Website. Analog Devices, Inc. was founded in 1965 and is headquartered in Wilmington, Massachusetts.",Norwood,781 329 4700,MA,United States,[],http://www.analog.com,1.0,One Technology Way,Semiconductors,146.63,147.99,148.7626,0.017390711,0.65779996,,150.75,,4288837.0,,146.63,156.28143,2.55,147.99,,4288837.0,,,,2.76,1614211200.0,1.254545,,,146.63,2.0,USD,39.67383,4852092.0,,,,55190233088.0,,,3312306.0,9.421426,146.63,149.71,,1000.0,4852092.0,164.4,22.296572,,2.06,104.57,149.65,False,0.0184,800.0,150.75,NMS,"Analog Devices, Inc.","Analog Devices, Inc.",America/New_York,EDT,False,-14400000,EQUITY,ADI,finmb_251411,us_market,,10.153,,0.23990999,23.117,0.38093042,,6.71,,368894016.0,,,32.768,36071373.0,0.097799994,,1604102400.0,0.99821997,1405405952.0,3.771,0.69,0.41299164,4.565735,0.00322,1667174400.0,1611964800.0,13.09,1617148800.0,364301015.0,59473997824.0,,953164800.0,2:1,,1614211200.0,,0.906,1619740800.0,2.09,,0.09810001,36570662.0,,,,149.61,https://logo.clearbit.com/analog.com,PO Box 9106,,,,,
41,15317,Technology,4800.0,"ANSYS, Inc. develops and markets engineering simulation software and services worldwide. The company offers ANSYS Workbench, a framework upon which its engineering simulation technologies are built; multiphysics software to simulate the interactions between structures, heat transfer, fluids, and electronics in a unified engineering simulation environment; high-performance computing product suite; and structural analysis product suite that provides simulation tools for product design and optimization. It also provides fluids product suite that enables modeling of fluid flow and other related physical phenomena; and electronics product suite that offers field simulation software for designing electronic and electromechanical products. In addition, the company offers power analysis and optimization software suite that manages the power budget, power delivery integrity, and power-induced noise in an electronic design; SCADE product suite, a solution for embedded software simulation, code production, and automated certification; system simulation capability for the design of automated products; and optical sensor and closed-loop, and real-time simulation, as well as safety-certified embedded software solutions. Further, it provides Discovery product family for use in the simulation of product design; Ansys Granta products to give access to material intelligence; and academic product suite with a portfolio of academic products based on associate, research, and teaching, as well as develops photonic design and simulation tools. The company serves engineers, designers, researchers, and students in the aerospace and defense, automotive, electronics, semiconductors, energy, materials and chemical processing, turbomachinery, consumer products, healthcare, and sports industries. It has a collaboration with Velodyne to develop software models of next-generation automotive lidar sensors. ANSYS, Inc. was founded in 1970 and is headquartered in Canonsburg, Pennsylvania.",Canonsburg,844 462 6797,PA,United States,[],http://www.ansys.com,1.0,2600 ANSYS Drive,Software—Application,317.67,321.63,348.64066,,0.0,,328.42,,581025.0,,317.67,354.388,,321.63,,581025.0,,,,,,1.205347,,,320.38,2.0,USD,62.10196,462916.0,,,,28452382720.0,,,519149.0,16.356287,320.38,327.03,,900.0,462916.0,413.19,41.482845,,,256.54,326.8,False,,900.0,328.42,NMS,"ANSYS, Inc.","ANSYS, Inc.",America/New_York,EDT,False,-14400000,EQUITY,ANSS,finmb_24893,us_market,,16.323,,0.26455998,46.541,0.23892832,,7.87,,87151600.0,,,47.189,918441.0,0.0105,,1609372800.0,0.941,460220992.0,5.257,,0.41299164,6.9183497,0.00453,1672444800.0,1617148800.0,2.45,1617148800.0,86790765.0,28395128832.0,,1181001600.0,2:1,,,,0.572,1619740800.0,5.0,,0.0117999995,1389843.0,,,,326.47,https://logo.clearbit.com/ansys.com,,724 514 9494,,,,
42,46204,Healthcare,83400.0,"Anthem, Inc., through its subsidiaries, operates as a health benefits company in the United States. It operates through four segments: Commercial & Specialty Business, Government Business, IngenioRx, and Other. The company offers a spectrum of network-based managed care health benefit plans to large and small groups, individuals, Medicaid, and Medicare markets. Its managed care plans include preferred provider organizations; health maintenance organizations; point-of-service plans; traditional indemnity plans and other hybrid plans, including consumer-driven health plans; and hospital only and limited benefit products. The company also provides a range of managed care services to self-funded customers, including claims processing, underwriting, stop loss insurance, actuarial services, provider network access, medical cost management, disease management, wellness programs, and other administrative services. In addition, it offers an array of specialty and other insurance products and services, such as pharmacy benefits management, dental, vision, life and disability insurance benefits, radiology benefit management, and analytics-driven personal health care. Further, the company provides services to the federal government in connection with the Federal Employee Program; and operates as a licensee of the Blue Cross and Blue Shield Association. As of December 31, 2020, it served 43 million medical members through its affiliated health plans. The company was formerly known as WellPoint, Inc. and changed its name to Anthem, Inc. in December 2014. Anthem, Inc. was founded in 1944 and is headquartered in Indianapolis, Indiana.",Indianapolis,800-331-1476,IN,United States,[],http://www.antheminc.com,1.0,220 Virginia Avenue,Healthcare Plans,395.45,397.49,330.9594,0.010064484,0.2123,,398.93,,980737.0,,395.45,375.67972,3.98,397.49,,980737.0,,,,4.52,1623196800.0,1.055614,,,392.45,2.0,USD,21.075918,677314.0,,,,96450207744.0,,,1235709.0,0.77387995,392.45,398.5,,1200.0,677314.0,406.0,13.914871,,1.32,244.1,391.5,False,0.0115,900.0,398.93,NYQ,"Anthem, Inc.","Anthem, Inc.",America/New_York,EDT,False,-14400000,EQUITY,ANTM,finmb_160077,us_market,,0.667,,0.03782,9.14,0.40709388,,28.31,,244840992.0,,,138.21,3687543.0,0.0150999995,,1609372800.0,0.91856,4713999872.0,18.691,1.13,0.41299164,2.8502278,0.00214,1672444800.0,1617148800.0,3.51,1617148800.0,244272624.0,83155075072.0,,1117584000.0,2:1,,1615248000.0,,0.093,1619740800.0,1.13,,0.0150999995,3796588.0,,,,393.93,https://logo.clearbit.com/antheminc.com,,,,,,
43,D01 K0Y8,Financial Services,50000.0,"Aon plc, a professional services firm, provides advice and solutions to clients focused on risk, retirement, and health worldwide. It offers commercial risk solutions, including retail brokerage, cyber, and global risk consulting solutions, as well as acts as a captive insurance solutions provider; and health solutions, such as health and benefits brokerages, and health care exchanges. The company also provides treaty and facultative reinsurance, as well as insurance-linked securities, capital raising, strategic advice, restructuring, and mergers and acquisitions services; and corporate finance advisory services and capital markets solutions products. In addition, it offers strategic design consulting services on their retirement programs, actuarial services, and risk management services; advice services on developing and maintaining investment programs across a range of plan types, including defined benefit plans, defined contribution plans, endowments, and foundations for public and private companies, and other institutions; and advice and solutions that help clients in accelerating business outcomes by enhancing the performance of their people, including assessment and optimized deployment, as well as the design, alignment, and benchmarking of compensation to business strategy and performance outcomes. Further, the company develops, markets, and administers customized insurance programs and specialty market solutions for organizations, and their members or affiliates; operates the Global Risk Insight Platform, which provides data, analytics, engagement, and consulting services; offers CoverWallet, a digital insurance platform for small- and medium-sized businesses; and provides ReView that provides advisory, analysis, and benchmarking services to help reinsurers. Aon plc was founded in 1919 and is headquartered in Dublin, Ireland.",Dublin,353 1 266 6000,,Ireland,[],http://www.aon.com,1.0,Metropolitan Building,Insurance Brokers,252.0,253.49,219.16122,0.007142857,0.1965,,255.49,,1491400.0,,252.0,240.68542,1.8,253.49,,1491400.0,,,,2.04,1619740800.0,0.843315,,,251.96,2.0,USD,27.874136,957532.0,,,,57368498176.0,,,1710082.0,5.044715,251.96,254.45,,800.0,957532.0,260.97,20.420885,,0.98,177.21,254.36,False,0.008,900.0,255.49,NYQ,Aon plc,Aon plc,America/New_York,EDT,False,-14400000,EQUITY,AON,finmb_119853,us_market,,5.714,,0.18554,18.544,0.29160738,,12.45,,225647008.0,,,18.833,25874247.0,0.114700004,,1609372800.0,1.01248,2108999936.0,9.121,0.51,0.41299164,13.499708,0.00843,1672444800.0,1617148800.0,16.16,1617148800.0,222980100.0,64976556032.0,,926985600.0,3:2,,1619740800.0,,0.183,1619740800.0,1.72,,0.1158,22896477.0,,,,254.24,https://logo.clearbit.com/aon.com,James Joyce Street,,,,,
44,77056-4000,Energy,2272.0,"APA Corporation, through its subsidiaries, explores for and produces oil and gas properties. It has operations in the United States, Egypt, and the United Kingdom, as well as has exploration activities offshore Suriname. It also operates gathering, processing, and transmission assets in West Texas, as well as holds ownership in four Permian-to-Gulf Coast pipelines. The company was founded in 1954 and is based in Houston, Texas.",Houston,713 296 6000,TX,United States,[],http://apacorp.com,1.0,2000 Post Oak Boulevard,Oil & Gas E&P,20.4,20.7462,16.538044,0.004901961,5.0,,21.72,,7345412.0,,20.4,19.017143,0.1,20.7462,,7345412.0,,,,0.1,1618963200.0,4.93155,,,20.7462,2.0,USD,1026.6666,5557301.0,,,,8149097472.0,,,8090809.0,1.6403176,20.7462,21.56,,800.0,5557301.0,23.85,13.391304,,3.16,7.45,21.56,False,0.0046,3100.0,21.72,NMS,APA Corporation,APA Corporation,America/New_York,EDT,False,-14400000,EQUITY,APA,finmb_169838,us_market,,3.65,,0.00161,2.706,0.8087249,,1.61,,377972992.0,,,-3.328,11491378.0,0.0304,,1609372800.0,0.84389,8000000.0,0.021,0.025,0.41299164,,0.00273,1672444800.0,1617148800.0,1.63,1617148800.0,376914511.0,18132482048.0,,1074124800.0,2:1,,1618963200.0,,,1619740800.0,-0.35,,0.040799998,11515283.0,,,,21.56,https://logo.clearbit.com/apacorp.com,Suite 100,,,,,
45,95014,Technology,100000.0,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, iPod touch, and other Apple-branded and third-party accessories. It also provides AppleCare support services; cloud services store services; and operates various platforms, including the App Store, that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It sells and delivers third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1977 and is headquartered in Cupertino, California.",Cupertino,408-996-1010,CA,United States,[],http://www.apple.com,1.0,One Apple Park Way,Consumer Electronics,124.97,126.25,126.54485,0.0065615745,0.1834,,127.88,,94384500.0,,124.97,129.40314,0.82,126.25,,94384500.0,,,,0.88,1620345600.0,1.203743,,,125.85,2.0,USD,28.646887,77970942.0,,,,2126834565120.0,,,104078328.0,6.5359416,125.85,127.79,,1100.0,77970942.0,145.09,23.86704,,1.37,77.58,127.6,False,0.0069,1400.0,127.88,NMS,Apple Inc.,Apple Inc.,America/New_York,EDT,False,-14400000,EQUITY,AAPL,finmb_24937,us_market,,6.735,,0.23451,21.957,0.61861825,,5.34,,16687599616.0,,,4.146,82710348.0,0.005,,1601078400.0,0.59521997,76311003136.0,4.449,0.22,0.41299164,30.740473,0.00066,1664150400.0,1616803200.0,0.91,1617148800.0,16642574396.0,2191749545984.0,,1598832000.0,4:1,,1620345600.0,,1.101,1619740800.0,1.45,,0.005,101484668.0,,,,127.45,https://logo.clearbit.com/apple.com,,,,,,
46,95052-3299,Technology,24200.0,"Applied Materials, Inc. provides manufacturing equipment, services, and software to the semiconductor, display, and related industries. It operates through three segments: Semiconductor Systems, Applied Global Services, and Display and Adjacent Markets. The Semiconductor Systems segment develops, manufactures, and sells various manufacturing equipment that is used to fabricate semiconductor chips or integrated circuits. This segment also offers various technologies, including epitaxy, ion implantation, oxidation/nitridation, rapid thermal processing, physical vapor deposition, chemical vapor deposition, chemical mechanical planarization, electrochemical deposition, atomic layer deposition, etching, and selective deposition and removal, as well as metrology and inspection tools. The Applied Global Services segment provides integrated solutions to optimize equipment and fab performance and productivity comprising spares, upgrades, services, remanufactured earlier generation equipment, and factory automation software for semiconductor, display, and other products. The Display and Adjacent Markets segment offers products for manufacturing liquid crystal displays; organic light-emitting diodes; and other display technologies for TVs, monitors, laptops, personal computers, electronic tablets, smart phones, and other consumer-oriented devices, as well as equipment for processing flexible substrates. The company operates in the United States, China, Korea, Taiwan, Japan, Southeast Asia, and Europe. Applied Materials, Inc. was founded in 1967 and is headquartered in Santa Clara, California.",Santa Clara,408 727 5555,CA,United States,[],http://www.appliedmaterials.com,1.0,3050 Bowers Avenue,Semiconductor Equipment & Materials,119.92,121.89,104.783844,0.0073382254,0.20809999,,125.8,,11640687.0,,119.92,132.34343,0.88,121.89,,11640687.0,,,,0.96,1621987200.0,1.451336,,,120.3,2.0,USD,29.856493,12422296.0,,,,114551619584.0,,,10541561.0,6.2933536,120.3,124.91,,800.0,12422296.0,146.0,18.715143,,1.3,52.41,124.91,False,0.0077,2200.0,125.8,NMS,"Applied Materials, Inc.","Applied Materials, Inc.",America/New_York,EDT,False,-14400000,EQUITY,AMAT,finmb_251230,us_market,,6.243,,0.21190001,21.647,1.2963576,,6.67,,917660992.0,,,12.502,12181241.0,0.013300001,,1603584000.0,0.83505,3856999936.0,4.181,0.22,0.41299164,9.984802,0.00369,1666656000.0,1612051200.0,1.17,1617148800.0,911925452.0,113626603520.0,,1019001600.0,2:1,,1614124800.0,,0.267,1619740800.0,1.06,,0.013300001,11890015.0,,,,124.83,https://logo.clearbit.com/appliedmaterials.com,PO Box 58039,,,,,
47,2,Consumer Cyclical,151000.0,"Aptiv PLC designs, manufacturers, and sells vehicle components worldwide. The company provides electrical, electronic, and safety technology solutions to the automotive and commercial vehicle markets. It operates through two segment, Signal and Power Solutions, and Advanced Safety and User Experience. The Signal and Power Solutions segment designs, manufactures, and assembles vehicle's electrical architecture, including engineered component products, connectors, wiring assemblies and harnesses, cable management products, electrical centers, and hybrid high voltage and safety distribution systems. The Advanced Safety and User Experience segment provides critical components, systems integration, and software development for vehicle safety, security, comfort, and convenience, such as sensing and perception systems, electronic control units, multi-domain controllers, vehicle connectivity systems, application software, and autonomous driving technologies. The company was formerly known as Delphi Automotive PLC and changed its name to Aptiv PLC in December 2017. Aptiv PLC was founded in 2011 and is headquartered in Dublin, Ireland.",Dublin,353 1 259 7013,,Ireland,[],http://www.aptiv.com,1.0,5 Hanover Quay,Auto Parts,136.93,138.4,134.92166,0.0,0.0,,139.87,,1351050.0,,136.93,141.35886,0.0,138.4,,1351050.0,,,,,1580774400.0,2.135294,,,136.32,2.0,USD,78.10326,753344.0,,,,37643038720.0,,,1617030.0,2.7153602,136.32,139.69,,900.0,753344.0,160.14,27.397636,,,67.41,139.44,False,,1000.0,139.87,NYQ,Aptiv PLC,Aptiv PLC,America/New_York,EDT,False,-14400000,EQUITY,APTV,finmb_59502420,us_market,,2.843,,0.03801,21.907,0.9831861,,5.08,,270463008.0,,,29.864,3184898.0,0.0117999995,,1609372800.0,0.98783994,476000000.0,1.782,0.22,0.41299164,4.6604605,0.0057,1672444800.0,1617148800.0,2.32,1617148800.0,268780471.0,39410003968.0,,1512432000.0,1193:1000,,1580774400.0,,-0.812,1619740800.0,0.88,,0.013200001,4136814.0,,,,139.18,https://logo.clearbit.com/aptiv.com,Grand Canal Dock,,,,,
48,60601,Consumer Defensive,37575.0,"Archer-Daniels-Midland Company procures, transports, stores, processes, and merchandises agricultural commodities, products, and ingredients in the United States and internationally. The company operates through three segments: Ag Services and Oilseeds, Carbohydrate Solutions, and Nutrition. It procures, stores, cleans, and transports agricultural raw materials, such as oilseeds, corn, wheat, milo, oats, and barley. The company also engages in the agricultural commodity and feed product import, export, and distribution; and structured trade finance activities. In addition, it offers vegetable oils and protein meals; ingredients for the food, feed, energy, and industrial customers; crude vegetable oils, salad oils, margarine, shortening, and other food products; and partially refined oils to produce biodiesel and glycols for use in chemicals, paints, and other industrial products. Further, the company provides peanuts, peanut-derived ingredients, and cotton cellulose pulp; sweeteners, corn and wheat starches, syrup, glucose, wheat flour, and dextrose; alcohol and other food and animal feed ingredients; ethyl alcohol and ethanol; corn gluten feed and meal, as well as distillers' grains; and citric acids. Additionally, the company provides natural flavor ingredients, flavor systems, natural colors, proteins, emulsifiers, soluble fiber, polyols, hydrocolloids, and natural health and nutrition products, including probiotics, prebiotics, enzymes, and botanical extracts; and other specialty food and feed ingredients; edible beans; formula feeds, and animal health and nutrition products; and contract and private label pet treats and foods. It also offers futures commission merchant and insurance services. The company was founded in 1902 and is headquartered in Chicago, Illinois.",Chicago,312 634 8100,IL,United States,[],http://www.adm.com,1.0,77 West Wacker Drive,Farm Products,67.14,67.56,54.604057,0.021596665,0.39400002,,67.89,,2714850.0,,67.14,61.255714,1.45,67.56,,2714850.0,,,,1.48,1621296000.0,0.903208,,,67.29,2.0,USD,18.380877,1746322.0,,,,37801779200.0,,,2661179.0,0.5536451,67.29,67.83,,800.0,1746322.0,68.68,15.238739,,3.02,34.76,67.82,False,0.0219,800.0,67.89,NYQ,Archer-Daniels-Midland Company,Archer-Daniels-Midland Company,America/New_York,EDT,False,-14400000,EQUITY,ADM,finmb_251704,us_market,,0.723,,0.03032,14.831,0.8899441,,4.44,,558702016.0,,,37.283,4430197.0,0.007900001,,1609372800.0,0.82305,2070000000.0,3.681,0.37,0.41299164,1.8147682,0.00501,1672444800.0,1617148800.0,1.8,1617148800.0,555500747.0,49373786112.0,,999129600.0,105:100,,1612742400.0,,0.762,1619740800.0,1.78,,0.008,5028813.0,,,,67.66,https://logo.clearbit.com/adm.com,Suite 4600,,,,,
49,95054,Technology,2613.0,"Arista Networks, Inc. develops, markets, and sells cloud networking solutions in the Americas, Europe, the Middle East, Africa, and the Asia-Pacific. The company's cloud networking solutions consist of extensible operating systems, a set of network applications, as well as gigabit Ethernet switching and routing platforms. It also provides post contract customer support services, such as technical support, hardware repair and parts replacement beyond standard warranty, bug fix, patch, and upgrade services. The company serves a range of industries comprising internet companies, service providers, financial services organizations, government agencies, media and entertainment companies, and others. It markets and sells its products through distributors, value-added resellers, system integrators, and original equipment manufacturer partners, as well as through its direct sales force. The company was formerly known as Arastra, Inc. and changed its name to Arista Networks, Inc. in October 2008. Arista Networks, Inc. was incorporated in 2004 and is headquartered in Santa Clara, California.",Santa Clara,408 547 5500,CA,United States,[],http://www.arista.com,1.0,5453 Great America Parkway,Computer Hardware,317.88,321.65,292.52884,,0.0,,328.7,,485037.0,,317.88,315.1623,,321.65,,485037.0,,,,,,1.171122,,,319.74,2.0,USD,38.24915,374366.0,,,,24909910016.0,,,516757.0,10.117569,319.74,344.5,,1000.0,374366.0,331.85,28.504805,,,192.96,317.53,False,,900.0,328.7,NYQ,"Arista Networks, Inc.","Arista Networks, Inc.",America/New_York,EDT,False,-14400000,EQUITY,ANET,finmb_33348547,us_market,,8.915,,0.27477,27.501,0.51368153,,11.45,,76321800.0,,,45.259,1802288.0,0.023599999,,1609372800.0,0.66722,676492032.0,8.533,,0.41299164,7.211384,0.26791,1672444800.0,1617148800.0,5.16,1617148800.0,55598153.0,21950017536.0,,,,,,,0.303,1619740800.0,2.85,,0.0379,2115592.0,,,,326.38,https://logo.clearbit.com/arista.com,,408 538 8920,,,,
50,60008-4050,Financial Services,34000.0,"Arthur J. Gallagher & Co., together with its subsidiaries, provides insurance brokerage, consulting, and third party claims settlement and administration services in the United States, Australia, Bermuda, Canada, the Caribbean, New Zealand, India, and the United Kingdom. Its Brokerage segment consists of retail and wholesale insurance brokerage operations. It offers brokerage and consulting services to businesses and organizations, including commercial, not-for-profit, and public entities, as well as individuals in the areas of insurance placement, risk of loss management, and management of employer sponsored benefit programs. This segment also assist retail brokers and other non-affiliated brokers in the placement of specialized and hard-to-place insurance; acts as a brokerage wholesaler, and managing general agent or managing general underwriter distributing specialized insurance coverage's for underwriting enterprises; and performs activities, including marketing, underwriting, issuing policies, collecting premiums, appointing and supervising other agents, paying claims, and negotiating reinsurance. The company's Risk Management segment provides contract claim settlement and administration services for enterprises and public entities; and claims management, loss control consulting, and insurance property appraisal services. The company offers its services through a network of correspondent insurance brokers and consultants. It serves commercial, industrial, public entity, religious, and not-for-profit entities. Arthur J. Gallagher & Co. was founded in 1927 and is headquartered in Rolling Meadows, Illinois.",Rolling Meadows,630-773-3800,IL,United States,[],http://www.ajg.com,1.0,2850 Golf Road,Insurance Brokers,145.86,146.75,123.37529,0.012546278,0.42259997,,148.58,,1910787.0,,145.86,137.48857,1.83,146.75,,1910787.0,,,,1.92,1622678400.0,0.704812,,,146.365,2.0,USD,33.83096,3810992.0,,,,28854157312.0,,,989336.0,4.073835,146.365,193.94,,1000.0,3810992.0,154.03,28.11069,,2.22,89.49,147.65,False,0.012999999,900.0,148.58,NYQ,Arthur J. Gallagher & Co.,Arthur J. Gallagher & Co.,America/New_York,EDT,False,-14400000,EQUITY,AJG,finmb_252186,us_market,,4.692,,0.12066,18.958,0.6312293,,5.24,,195887008.0,,,34.362,2162386.0,0.011,,1609372800.0,0.86250997,854600000.0,4.354,0.48,0.41299164,4.286712,0.00927,1672444800.0,1617148800.0,3.05,1617148800.0,193434495.0,33234655232.0,,979862400.0,2:1,,1614816000.0,,0.103,1619740800.0,2.62,,0.014199999,2606727.0,,,,147.3,https://logo.clearbit.com/ajg.com,,,,,,
51,10005,Financial Services,13600.0,"Assurant, Inc., together with its subsidiaries, provides lifestyle and housing solutions that support, protect, and connect consumer purchases in North America, Latin America, Europe, and the Asia Pacific. The company operates through three segments: Global Lifestyle, Global Housing, and Global Preneed. The Global Lifestyle segment offers mobile device solutions, and extended service products and related services for mobile devices, consumer electronics, and appliances; vehicle protection and related services; and credit protection and other insurance products. The Global Housing segment provides lender-placed homeowners insurance, manufactured housing, and flood insurance; and renters insurance and related products, as well as voluntary manufactured housing insurance, voluntary homeowners insurance, and other specialty products. The Global Preneed segment offers pre-funded funeral insurance, final need insurance, and related services. The company was formerly known as Fortis, Inc. and changed its name to Assurant, Inc. in February 2004. Assurant, Inc. was founded in 1892 and is headquartered in New York, New York.",New York,212-859-7000,NY,United States,[],http://www.assurant.com,1.0,28 Liberty Street,Insurance—Specialty,159.3,160.47,137.87616,0.016195856,0.3644,,161.61,,331475.0,,159.3,152.30685,2.58,160.47,,331475.0,,,,2.64,1613692800.0,0.639037,,,159.89,2.0,USD,22.467947,405162.0,,,,9765152768.0,,,421376.0,0.9694576,159.89,161.11,,800.0,405162.0,163.24,12.991941,,2.16,94.7,159.94,False,0.0164,800.0,161.61,NYQ,"Assurant, Inc.","Assurant, Inc.",America/New_York,EDT,False,-14400000,EQUITY,AIZ,finmb_4026111,us_market,,1.01,,0.04468,9.846,0.64035,,12.41,,60566600.0,,,95.995,777496.0,0.0128,,1609372800.0,0.94387,424300000.0,7.176,0.66,0.41299164,1.6795665,0.01001,1672444800.0,1617148800.0,2.64,1617148800.0,59939163.0,10175657984.0,,,,,1613692800.0,,0.054,1619740800.0,0.74,,0.0145000005,843367.0,,,,161.23,https://logo.clearbit.com/assurant.com,41st Floor,,,,,
